# id	prompt (NL)	choices (NL), in the same order as the English, separated by |
I.1	Het antwoord op de vraag “Wie ben ik?” geeft iemands _____.	Identiteit | Vriendschap | Intelligentie | Geen van deze
I.29	De beste omschrijving van de bediening van een voorganger is te vinden in _____.	Exodus 35 | Psalm 23 | Johannes 14 | Geen van deze
I.30	Dienaren bereiden de gemeente _____ voor om uitdagingen het hoofd te bieden.	Geestelijk | Economisch | Lichamelijk | Geen van deze
I.31	Nadat een geliefde is overleden, ontmoet de dienaar de familie om troost te bieden en _____ voor de uitvaartdienst.	Financiën | Voorbereiding | Eten | Geen van deze
I.32	In de zorg voor de rouwende familie moet een dienaar zich richten op _____ van God.	De genade | Het oordeel | De alwetendheid | Geen van deze
I.33	In de preek bij een uitvaart moet de dienaar de weg tot het eeuwige leven _____.	Negeren | Verduidelijken | Versluieren | Geen van deze
I.34	Het doel van een uitvaartdienst is _____.	Christus verhogen | De familie troosten | De weg tot het eeuwige leven verduidelijken | Al deze
I.35	Besturen betekent _____.	Organiseren | Samenspannen | Leiding geven | Al deze
I.36	Een visie op bediening bestaat uit een doelstelling, een doel en _____ voor de bediening.	Status | Voordelen | Obstakels | Geen van deze
I.37	Het doel van visie is een gemeente focus geven en een middel om de _____ van de bediening te meten.	Bedoeling | Richting | Effectiviteit | Geen van deze
I.38	Het oudtestamentische gedeelte _____ legt de noodzaak van een visie voor een gemeente uit.	Deuteronomium 4:4 | Jozua 1:8 | Spreuken 29:18 | Geen van deze
I.39	_____ is een principe dat gebruikt moet worden bij het schrijven van een missieverklaring voor de bediening.	Evangelisatie | Opbouw | Toerusting | Al deze
I.40	Een visie werkelijkheid maken houdt in: _____.	Personeel kiezen | Plannen vaststellen | Een begroting opstellen | Al deze
I.41	De gemeente is een _____ die het lichaam van Christus opbouwt.	Tempel | Bruid | Organisatie | Geen van deze
I.42	In _____ geeft Paulus een beschrijving van de gemeente als een lichaam met vele delen.	Romeinen 10:17 | 1 Korinthe 12:12-31 | Efeze 4:7-16 | Geen van deze
I.43	Organisatie geeft de gemeente _____ om haar visie uit te voeren.	Structuur | Vitaliteit | Kracht | Geen van deze
I.44	De gemeente moet zich bewust zijn van _____ van de mensen die in haar omgeving wonen.	De verwachtingen | De verlangens | De noden | Geen van deze
I.45	_____ is een geestelijke discipline.	Geven | Geestelijke strijd | Vriendelijkheid | Geen van deze
I.46	_____ is een Bijbelgedeelte dat onderwijs geeft over het tienden geven.	Deuteronomium 19:1-6 | Jesaja 37:5-8 | Maleachi 3:7-10 | Geen van deze
I.47	De _____ behoort te bestaan uit mensen met gaven op het gebied van bestuur.	Oudstenraad | Profeten | Leraars | Geen van deze
I.48	Christus erkende mensen op het punt van hun _____.	Nood | Positie | Verlangens | Geen van deze
I.49	Christus ging met mensen om ondanks _____.	Vooroordeel | Eisen | Gewoonten | Geen van deze
I.50	_____ is de kern van het werk van de plaatselijke gemeente.	Evangelisatie | Muziek | Onderlinge gemeenschap | Al deze
II.1	De Church of God is ontstaan in de Appalachen van _____.	Georgia | North Carolina | Tennessee | Al deze
II.2	De grondleggers van de Church of God predikten een gedegen _____ boodschap.	Hemelse | Heiligings- | Millennium- | Geen van deze
II.3	Het bestaan van valse leringen in de begintijd van het pinksterchristendom deed de leiders van de kerk de noodzaak inzien van de ontwikkeling van _____.	Onderwijsinstellingen | Evangelisatieprogramma’s | Heiligingspraktijken | Geen van deze
II.4	_____ is de officiële geschiedenis van de Church of God.	As the Saints Have Trod | The Church of God | Like a Mighty Army | Geen van deze
II.5	De Church of God is begonnen in _____.	1886 | 1896 | 1906 | Geen van deze
II.6	_____ was een belangrijke leek in de begintijd van de Church of God.	Glanville Charles | John Smith | W.F. Bryant | Al deze
II.7	De naam Church of God werd aangenomen tijdens de _____ Generale Assemblee.	Eerste | Tweede | Derde | Geen van deze
II.8	Tijdens de tweede Generale Assemblee stelde de Assemblee een nieuwe orde van bediening in: _____.	Apostel | Evangelist | Profeet | Al deze
II.9	De eerste algemeen opziener van de Church of God was _____.	A.J. Tomlinson | F.J. Lee | John C. Jernigan | Geen van deze
II.10	De Church of God Evangel verscheen voor het eerst in _____.	1886 | 1906 | 1910 | Geen van deze
II.11	In 1948 werd _____ aangenomen.	De Geloofsverklaring | De Heiligingscode | De Praktische Verbintenissen | Al deze
II.12	In 1909 keurde de Generale Assemblee goed dat _____ een preeklicentie konden krijgen.	Jongeren | Kinderen | Vrouwen | Geen van deze
II.13	De Church of God staat voor _____, recht gesneden.	Het Oude Testament | Het Nieuwe Testament | De hele Bijbel | Geen van deze
II.14	_____ blijft het mandaat van de Church of God vanuit Christus.	De Grote Opdracht | De Heiligingscode | De Bergrede | Geen van deze
II.15	De Church of God is een _____ lichaam.	Uitvoerend | Rechtsprekend | Wetgevend | Geen van deze
II.16	De officiële naam van de Church of God is _____.	Church of God | Churches of God | Church of God Fellowships | Al deze
II.17	De Internationale _____ bestaat uit alle leden en dienaren van de Church of God van 16 jaar en ouder.	Bisschoppenraad | Generale Assemblee | Generale Raad | Al deze
II.18	De Internationale Generale Assemblee komt _____ bijeen.	Jaarlijks | Tweejaarlijks | Vierjaarlijks | Geen van deze
II.19	De Internationale _____ kiest de Raad van Achttien.	Raad | Generale Assemblee | Generale Raad | Geen van deze
II.20	De algemeen opziener, zijn assistenten, de secretaris-generaal en _____ vormen samen de Internationale Uitvoerende Raad.	De Raad van Achttien | Het Internationaal Uitvoerend Comité | De Internationale Raad | Al het bovenstaande
II.21	Vaste commissies worden benoemd door _____.	Het Internationaal Uitvoerend Comité | De Internationale Uitvoerende Raad | De Internationale Generale Assemblee | Al deze
II.22	_____ zijn toegelaten tot de Internationale Generale Raad.	Exhorters | Leken | Geordineerde dienaren | Al deze
II.23	Wie beslist over het verplaatsen of uitstellen van een regulier geplande Generale Assemblee naar een geschikt tijdstip en plaats?	Het Internationaal Uitvoerend Comité | De Internationale Uitvoerende Raad | De verbindingspersoon van de algemeen opziener | Geen van het bovenstaande
II.24	De verdeling van de tienden die naar de Internationale Kantoren worden gestuurd, is de verantwoordelijkheid van _____.	De algemeen opziener | De Internationale Uitvoerende Raad | De algemeen opziener en de Internationale Uitvoerende Raad | Geen van deze
II.25	Staats- en provinciale opzieners worden benoemd door _____.	De algemeen opziener | Het Internationaal Uitvoerend Comité | De Internationale Uitvoerende Raad | Al deze
II.26	_____ zorgt voor brede betrokkenheid om een internationaal perspectief te ondersteunen bij het vervullen van de missie van de Church of God.	De Internationale Raad | Het Internationaal Uitvoerend Comité | Wereldzending | Geen van deze
II.27	De ambtstermijn van de staatsopziener bedraagt in niet-zendingsstaten maximaal _____ jaar.	4 | 8 | 12 | Geen van deze
II.28	De staatsopziener benoemt zo nodig _____.	Districtsopzieners | Ambtsdragers van de plaatselijke gemeente | Voorgangers | Al deze
II.29	De staatsopziener keurt de keuze, aankoop en bouw van alle kerk-, pastorie- of zondagsschoolpanden goed, samen met de betreffende _____.	Bouwcommissie | Districtsopziener | Voorganger | Geen van deze
II.30	Voordat hij grote financiële projecten start, moet de staatsopziener de goedkeuring hebben van _____.	De Internationale Raad | Het Internationaal Uitvoerend Comité | De Internationale Uitvoerende Raad | Al deze
II.31	_____ wordt tweejaarlijks benoemd door de staatsopziener.	De Staatscommissie voor Ministeriële Ontwikkeling | De Staatscommissie voor Muziek | De Staatscommissie voor Wereldzending | Al deze
II.32	De staatsdirecteur Jeugd en Discipelschap wordt gekozen door _____.	De Staatsraad | De staatsopziener | De Staatsjeugdcommissie | Al deze
II.33	Evangelisatieorganisaties kunnen binnen de Church of God niet worden opgericht zonder de uitdrukkelijke goedkeuring van _____.	De Internationale Raad | Het Internationaal Uitvoerend Comité | De Internationale Uitvoerende Raad | Al deze
II.34	De Church of God heeft een _____ bestuursvorm.	Gecentraliseerde | Congregationalistische | Theocentrische | Geen van deze
II.35	_____, het hoogste gezag van de Church of God, bepaalt het eigendom van alle kerkelijke eigendommen.	Het Internationaal Uitvoerend Comité | De Internationale Generale Raad | De Internationale Generale Assemblee | Geen van deze
II.36	Een verzoek tot overschrijving van lidmaatschap moet binnen _____ worden ingewilligd, mits er geen aanklachten in behandeling zijn.	Één week | Twee weken | Één maand | Geen van deze
II.37	Een _____ is een zakelijke vergadering met het doel alle zaken af te handelen die nodig zijn voor het functioneren van de plaatselijke gemeente.	Gemeentevergadering | Districtsvergadering | Staatsvergadering | Geen van deze
II.38	In een district wordt geen gemeentevergadering gehouden dan onder leiding van _____.	De Gemeente- en Voorgangersraad | De districtsopziener | De voorganger | Geen van deze
II.39	De staats- en districtsopzieners moeten erop toezien dat er per jaar ten minste _____ vergadering in elke plaatselijke gemeente wordt gehouden.	Één | Twee | Drie | Geen van deze
II.40	De gewone gemeentevergadering bestaat uit _____.	De Gemeente- en Voorgangersraad | De leden | De vaste bezoekers | Geen van deze
II.41	Het doel van een gemeentevergadering is de gemeente te informeren over haar _____.	Kerkelijke status | Financiële status | Ledenstatus | Geen van deze
II.42	Hulppredikanten zijn onderworpen aan de goedkeuring en benoeming door _____.	De Gemeente- en Voorgangersraad | De districtsopziener | De staatsopziener | Geen van deze
II.43	_____ treedt op als voorzitter van de Gemeente- en Voorgangersraad.	De scriba | De voorganger | De penningmeester | Geen van deze
II.44	De Gemeente- en Voorgangersraad staat de voorganger bij op de volgende terreinen van de gemeente: _____.	Financieel | Materieel | Geestelijk | Al deze
II.45	Alle grote uitgaven van de plaatselijke gemeente moeten door de gemeente in _____ worden goedgekeurd.	Vergadering | Beraad | Zitting | Geen van deze
II.46	De financiële commissie in een plaatselijke gemeente bestaat uit de penningmeester en _____ andere leden.	Eén | Twee | Drie | Geen van deze
II.47	Een plaatselijke gemeente die eigendom bezit, benoemt _____ om het beheer te voeren.	De Gemeente- en Voorgangersraad | De oudsten | Een plaatselijk College van Beheerders | Al deze
II.48	Om de leerstellige integriteit van de Church of God als deel van het lichaam van Christus te bewaren, en om een Bijbels rolmodel te bieden aan onze beweging, is het noodzakelijk dat alle personen die in welke hoedanigheid dan ook door de kerk worden aangesteld, of die als vrijwilliger in de bediening dienen, instemmen met en zich houden aan _____.	De Praktische Verbintenissen | De Tien Geboden | De Geloofsverklaring | Geen van het bovenstaande
II.49	Geen enkele gemeente zal _____ starten zonder toestemming van de staatsopziener.	Een christelijke dagschool | Een discipelschapsbediening | Een Bijbelschool | Geen van deze
II.50	Een kandidaat voor ordinatie kan worden geordineerd wanneer hij 25 jaar oud is, mits hij ten minste _____ jaar actief in de bediening is geweest.	Eén | Tien | Vijftien | Geen van deze
III.1	Het woord “inspiratie” betekent _____.	Gezalfd | Door God geademd | Onfeilbaar | Onbedorven
III.2	_____ is de enige morele maatstaf van de Bijbel.	Het geloofsleven | De liefde van God | De heiligheid van God | De genade van God
III.3	De Bijbel is de enige onfeilbare regel voor _____ en _____.	Verdienste; goede werken | Geloof; praktijk | Liefde; gehoorzaamheid | Bestuur; leer
III.4	In de verhouding van de Personen van de Drie-eenheid tot elkaar bestaan zij _____.	Tijdelijk | Alleen in naam | Figuurlijk | Eeuwig
III.5	In 1 Timotheüs 2:5 betoogt Paulus dat, omdat er slechts één God is, er ook slechts één _____ is.	Wet | Heilsplan | Middelaar | Bijbel
III.6	Welk woord beschrijft de godheid van elke Persoon van de Drie-eenheid níet?	Oneindig | Vergankelijk | Eeuwig | Onveranderlijk | Geen van het bovenstaande
III.7	Volgens de Schriften is Jezus de Zoon van God _____.	Door aanneming | Doordat Hij verwekt is | Door schepping | In figuurlijke zin
III.8	De godheid van Jezus Christus, de Zoon van God, wordt in de Schrift bewezen door _____.	De liefde en vriendelijkheid die Hij mensen betoonde | Het toekennen aan Hem van goddelijke namen en goddelijke eigenschappen | De goddelijke werken die Hij verrichtte en de goddelijke aanbidding die Hem gebracht werd | A en B | B en C
III.9	Het verlossende ambt (of de ambten) van Jezus Christus is _____.	Priester | Koning | Profeet | Al het bovenstaande | Geen van het bovenstaande
III.10	Christus de Verlosser moest God én mens zijn om te kunnen dienen als _____.	Middelaar | Rechter | Genezer | Profeet
III.11	Toen de Zoon van God ontvangen en uit een maagd geboren werd, werd Hij mens. Kies de uitspraak die Zijn menselijke natuur het beste beschrijft.	Hij was mens naar het lichaam, maar Zijn geest was de Heilige Geest. | Hij was mens, maar was niet onderworpen aan alle zwakheid van de menselijke natuur. | Hij was volledig mens, volkomen één te noemen met de mensheid. | Zijn mens-zijn was zo met de goddelijke natuur verenigd dat Hij meer dan mens was.
III.12	Toen de Zoon van God mens werd, verenigde God de menselijke en de goddelijke natuur. Kies de uitspraak die Zijn goddelijke natuur het beste beschrijft.	Hij was goddelijk in alle eigenschappen en machten. | Hij gaf een deel van Zijn goddelijke natuur op. | De goddelijke en de menselijke natuur werden met elkaar vermengd. | De goddelijke natuur kwam bij de opstanding op Hem.
III.13	De kruisiging van Christus was noodzakelijk om te voldoen aan het goddelijke _____.	Strafgericht | Oordeel | Gerechtigheid | Heiligheid
III.14	Door Zijn _____ werd Christus verhoogd boven alle overheid en macht en door de Vader verhoogd tot de rechterhand van de kracht.	Verzoening | Wonderen | Woorden | Hemelvaart
III.15	Bekering van zonde is een weldaad van _____.	De verdorvenheid van de mens | Droefheid naar God | Goddelijke genade | Gehoorzaamheid
III.16	Het is een werk van _____ om de wereld van zonde te overtuigen.	De profeet | De Heilige Geest | Predikers | De Bijbel
III.17	Als gave van God is rechtvaardiging een daad van goddelijke _____.	Geduld | Genade | Zelfbeheersing | Hoop
III.18	Het beeld van God wordt in de mens hersteld door _____.	Rechtvaardiging | Bekering | Aanneming tot kind | Wedergeboorte
III.19	Het gevolg van de nieuwe geboorte is _____.	Een radicale verandering van levenswandel | Dat wij gelegenheid krijgen te bewijzen dat wij het eeuwige leven waard zijn | Dat wij ons nooit meer zorgen hoeven te maken over verleiding | Dat wij lichamelijk en geestelijk zondeloos en rein worden zoals Christus was toen Hij op aarde was
III.20	Heiliging is een daad van geloof waardoor de gelovige zichzelf rekent _____ te zijn.	Heilig | Rein | Dood voor de zonde | Rein van hart
III.21	Het najagen van _____ is de normale levenswijze voor de gelovige.	Heilig leven | Wonderen | Uitmuntendheid | Eeuwig leven
III.22	In alle gevallen in het boek Handelingen waarin mensen de Heilige Geest ontvingen, verkeerden zij reeds in _____.	De bediening van de prediking | De kring van de apostelen | Een verbondsrelatie met Israël | Een verloste relatie met God
III.23	Spreken in tongen zoals de Heilige Geest het geeft uit te spreken, is _____.	Het volle bewijs van de vervulling met de Heilige Geest | Een goddelijk-menselijke communicatie | Gods wil voor sommigen, maar niet voor elke gelovige | A en B
III.24	Kies de uitspraak die de voortdurende bediening van de Heilige Geest in de gave van tongen juist beschrijft.	Spreken in tongen was alleen bedoeld voor het apostolische tijdperk. | Spreken in tongen vindt alleen plaats onder de rechtstreekse bediening van de apostelen. | Spreken in tongen is een voortdurende bediening van de Heilige Geest aan de enkeling in het verborgene. | Spreken in tongen is een voortdurende bediening van de Heilige Geest aan de enkeling én aan de gemeente.
III.25	De handeling van _____ stelt de dood, begrafenis en opstanding van de gelovige met Christus voor.	Heiliging | Wedergeboorte | Onderdompeling | Onderwerping
III.26	Wat van het volgende is een gevolg van de zonde van de mens en zijn overtreding van Gods morele wet?	De geestelijke verdorvenheid van de mens | De vervreemding van de mens van God | De lichamelijke ontbinding en dood van de mens | Al het bovenstaande | Geen van het bovenstaande
III.27	Goddelijke genezing gaat samen met het uitgaan van _____.	Het Woord van God | De gemeente | De liefde van God | De barmhartigheid van God
III.28	Het Avondmaal des Heeren voorziet in onze veelvuldige terugkeer naar _____.	De Opperzaal | Golgotha | De aanbidding | Pinksteren
III.29	Het eerste doel van de tweede komst van Christus is _____.	De verheerlijking van alle gelovigen | Het oordelen van de gehele mensheid | Satan voor altijd te vernietigen | Geen van het bovenstaande
III.30	Bij het instellen van het sacrament van het Avondmaal legde Christus uit dat het vergieten van bloed diende tot _____.	De bezegeling van het nieuwe verbond | De verzegeling van de Heilige Geest als gave van God | De vereniging van het lichaam van Christus tot één | De vervulling van de oudtestamentische offers
III.31	Met de term premillennialistisch duiden wij aan dat _____.	Christus zal terugkeren vóór het begin van het duizendjarig rijk | er een heerschappij van vrede en gerechtigheid zal zijn vóórdat Christus terugkeert | Christus zal regeren als menselijk koning | Christus vóór het laatste Grote Oordeel zal terugkeren
III.32	Een voorbeeld van een geestelijke discipline is _____.	Gebed | Vasten | Studie | Al deze
III.33	Christenen moeten zich _____ met andere leden van de gemeente verenigen.	Regelmatig | Wanneer daarom gevraagd wordt | Bij tijd en wijle | Geen van deze
III.34	Het lichaam is _____ van de Heilige Geest, en wij moeten God verheerlijken in ons lichaam.	Het offer | De organisatie | De tempel | Geen van deze
III.35	De beoefening van christelijke disciplines en deugden behoort te beginnen in _____.	De gemeente | Het gezin | De wereld | Geen van deze
III.36	Welke uitspraak geeft de voornaamste zorg weer voor het werk van de kerk in onze wereld van vandaag?	Wij moeten het evangelie van Gods verzoenende genade in Christus prediken en vervolgens dienstbaar zijn aan de vele noden van de mensen. | Wij moeten afgezonderd blijven van de seculiere samenleving en de meeste maatschappelijke betrokkenheid mijden. | Onze aandacht moet uitsluitend uitgaan naar geestelijke zaken, en sociale bedieningen van de kerk mogen alleen een middel zijn om zondaren te bekeren. | Wij moeten de bevrijdingstheologie steunen en ons volledig inzetten om onze wereld te veranderen door burgerlijke ongehoorzaamheid en zo nodig geweld.
III.37	_____ ondersteunt de woordelijke inspiratie van de Bijbel.	Handelingen 3:21 | 2 Timotheüs 3:16 | A en B | Geen van deze
III.38	_____ bevestigt dat er één God is die bestaat in drie Personen, namelijk de Vader, de Zoon en de Heilige Geest.	Ezechiël 4:8 | 1 Korinthe 8:4 | A en B | Geen van deze
III.39	_____ onderbouwt dat Jezus Christus de eniggeboren Zoon van de Vader is, ontvangen van de Heilige Geest en geboren uit de maagd Maria; dat Jezus gekruisigd, begraven en uit de doden opgewekt is; dat Hij is opgevaren naar de hemel en vandaag aan de rechterhand van de Vader is als de Voorbidder.	Mattheüs 5:9-10 | Johannes 3:16 | A en B | Geen van deze
III.40	_____ houdt staande dat allen gezondigd hebben en de heerlijkheid van God missen, en dat bekering door God aan allen geboden is en noodzakelijk is voor vergeving van zonden.	Lukas 24:47 | Romeinen 5:1, 7 | A en B | Geen van deze
III.41	_____ bevestigt dat rechtvaardiging, wedergeboorte en de nieuwe geboorte tot stand komen door geloof in het bloed van Jezus Christus.	Handelingen 3:24 | Romeinen 5:1, 7 | A en B | Geen van deze
III.42	_____ stelt vast dat heiliging volgt op de nieuwe geboorte, door geloof in het bloed van Christus, door het Woord en door de Heilige Geest.	1 Thessalonicenzen 5:23 | Johannes 17:17 | A en B | Geen van deze
III.43	_____ bekrachtigt dat heiligheid Gods maatstaf voor het leven van Zijn volk is.	Hebreeën 12:14 | 1 Johannes 4:3, 7 | A en B | Geen van deze
III.44	_____ bevestigt de doop met de Heilige Geest als volgend op een rein hart.	Handelingen 1:8 | Efeze 5:18 | A en B | Geen van deze
III.45	_____ getuigt van het spreken in andere tongen zoals de Geest het geeft uit te spreken, en dat dit het eerste bewijs is van de doop met de Heilige Geest.	Lukas 4:4 | Handelingen 3:1-4 | A en B | Geen van deze
III.46	_____ bevestigt de waterdoop door onderdompeling, en dat allen die zich bekeren gedoopt behoren te worden in de naam van de Vader, en van de Zoon, en van de Heilige Geest.	Mattheüs 16:16 | Romeinen 7:4 | A en B | Geen van deze
III.47	_____ getuigt ervan dat goddelijke genezing voor allen voorzien is in de verzoening.	Jesaja 4:5 | Mattheüs 8:16-17 | A en B | Geen van deze
III.48	_____ documenteert het Avondmaal des Heeren en de wassing van de voeten der heiligen.	Lukas 22:19-20 | 1 Johannes 3:4-7 | A en B | Geen van deze
III.49	_____ bewijst de premillennialistische wederkomst van Jezus: ten eerste om de rechtvaardige doden op te wekken en de levende heiligen Hem tegemoet te voeren in de lucht; ten tweede om duizend jaar op aarde te regeren.	Lukas 24:1, 2 | 2 Thessalonicenzen 4:13-18 | A en B | Geen van deze
III.50	_____ toont de lichamelijke opstanding aan; eeuwig leven voor de rechtvaardigen en eeuwige straf voor de goddelozen.	Filippenzen 3:20, 21 | Johannes 11:25-26 | A en B | Geen van deze
