# id	question (NL)	answer (NL)
bank1-12-41	_____ is het middelpunt van de eredienst in een gemeente.	De bediening van het Woord van God
bank1-13-42	Pastorale prediking heeft een sterk _____ element in de inhoud.	onderwijzend
bank1-14-43	Een preek moet zich _____ op de persoon van Jezus Christus.	richten
bank1-15-44	Prediking moet _____ gefundeerd zijn.	Bijbels
bank1-1-45	De meest samenbindende aspecten van de eredienst zijn de _____ van de gemeente.	sacramenten
bank1-2-46	De sacramenten van de gemeente zijn _____.	Avondmaal; doop; voetwassing
bank1-3-47	Sacrament impliceert _____.	mysterie en viering
bank1-4-48	_____ stelt voor dat Christus in de gelovige woont en de gelovige in Christus.	Het Avondmaal
bank1-5-49	_____ is verbonden met geloof, bekering en geloofsbelijdenis.	De doop
bank1-6-50	Het Avondmaal des Heeren is een andere naam voor _____.	het Avondmaal
bank1-7-51	Het Avondmaal richt de gelovige op _____ van Christus.	de persoon
bank1-8-52	Het Avondmaal des Heeren _____ onder het volk van God.	bevordert de onderlinge gemeenschap
bank1-9-53	Het Avondmaal erkent dat een mens _____ is.	vergeven
bank1-10-54	Christus is in het Avondmaal _____ aanwezig.	geestelijk
bank1-11-55	Het Avondmaal is een _____ van genade, maar is niet de genade zelf.	uitdrukking
bank1-12-56	Het Avondmaal is alleen beschikbaar voor _____.	gelovigen
bank1-13-57	De doop is een _____ met Christus.	vereenzelviging
bank1-14-58	De doop _____ een mens niet.	redt
bank1-15-59	_____ is de wijze van dopen.	Onderdompeling
bank1-16-60	De doop volgt op _____.	bekering
bank1-17-61	De formule voor de doop staat in Mattheüs _____.	28:19
bank1-18-62	De voetwassing was een oud gebruik van _____.	gastvrijheid
bank1-19-63	_____ is een Bijbelgedeelte over de voetwassing.	Johannes 13:1-17
bank1-20-64	Het Avondmaal des Heeren richt zich op _____ van Christus.	de kruisiging
bank1-1-65	De praktijk van het opdragen van kinderen komt voort uit het opdragen van _____.	Samuel en Jezus
bank1-2-66	Kinderen aan God opdragen is een daad van _____.	lofprijzing en dankzegging
bank1-3-67	Wanneer ouders een kind aan God opdragen, _____ zij zich om het kind voor Gods aangezicht op te voeden.	verplichten
bank1-4-68	Een kind opdragen is een moment om _____ van God te claimen.	de belofte
bank1-5-69	In een opdragingsdienst legt de dienaar _____ van de kinderopdraging uit.	het doel
bank1-6-70	In het huwelijksgesprek vooraf spreekt de voorganger met een paar over hun _____.	relatie
bank1-7-71	In het huwelijksgesprek vooraf neemt de voorganger de orde van _____ met het paar door.	dienst
bank1-8-72	In een huwelijksdienst moet de voorganger de betekenis van het huwelijk uitleggen als een _____ voor Gods aangezicht.	verbondsrelatie
bank1-1-73	De rol van de voorganger is die van een _____.	herder
bank1-2-74	Terwijl dienaren hun gemeente weiden, geven zij haar _____.	voeding en zorg
bank1-3-75	De beste omschrijving van de bediening van een voorganger is te vinden in _____.	Psalm 23
bank1-4-76	Als herder geeft een dienaar _____ aan de gemeente.	leiding
bank1-5-77	Dienaren bereiden de gemeente _____ voor om uitdagingen het hoofd te bieden.	geestelijk
bank1-6-78	Bediening omvat _____ contact.	pastoraal
bank1-7-79	Wanneer een dienaar een familie ontmoet nadat een geliefde is overleden, biedt de dienaar _____ voor de uitvaartdienst.	troost en voorbereiding
bank1-8-80	In de zorg voor een rouwende familie moet een dienaar zich richten op _____ van God.	de trouw en genade
bank1-9-81	Geven wat de familie bij een uitvaartdienst _____ en _____, is belangrijk.	wil; verlangt
bank1-10-82	Drie doelen van een preek bij een uitvaart zijn Jezus te _____, de familie te _____ en de weg tot het eeuwige leven te _____.	verhogen; troosten; verduidelijken
bank1-1-83	_____ is een deel van de bediening van de gemeente.	Bestuur
bank1-2-84	Door de aard van de roeping is de dienaar verantwoordelijk voor het beheren van zowel de _____ als het _____ van de bediening.	filosofie; plan
bank1-3-85	Het plan van de bediening heeft te maken met de _____ van de bediening.	strategie
bank1-4-86	_____ betekent “organiseren, uitstippelen, leiden en sturen”.	Bestuur
bank1-5-87	De dienaar _____ de gemeente terwijl zij de toekomst ingaat.	leidt en stuurt
bank1-6-88	Een visie voor de bediening schept een _____, een _____ en _____ voor de bediening.	doelstelling; doel; voordelen
bank1-7-89	Het doel van visie is een gemeente een _____ voor de bediening te geven en een middel om de _____ van de bediening te meten.	focus; effectiviteit
bank1-8-90	Het oudtestamentische gedeelte _____ legt de noodzaak van een visie voor een gemeente uit.	Spreuken 29:18
bank1-9-91	Dienaren zijn _____, wat betekent dat zij zien waar de gemeente heen moet en de stappen uitzetten om haar daar te brengen.	visionairs
bank1-10-92	Een visie voor de bediening begint bij het schriftuurlijke inzicht — een zich ontvouwende _____.	toekomstmogelijkheid
bank1-11-93	Noem vijf principes die gebruikt moeten worden bij het schrijven van een missieverklaring voor de bediening: _____.	evangelisatie; opbouw; toerusting; bemoediging; en uitmuntendheid
bank1-12-94	Een visie voor de bediening werkelijkheid maken omvat drie bestuurlijke functies: (1) _____, (2) _____, (3) _____.	personeel kiezen; bedieningsplannen vaststellen; een begroting voor het bedieningsplan opstellen
bank1-13-95	De gemeente is een _____ die het lichaam van Christus opbouwt.	organisatie
bank1-14-96	Paulus geeft een beeldende beschrijving van de gemeente als een lichaam met vele delen in _____.	1 Korinthe 12:12-31
bank1-15-97	Organisatie is het vinden van een evenwicht tussen _____.	geest en vorm
bank1-16-98	Het doel achter organisatie is dat zij de gemeente _____ geeft om de visie uit te voeren.	structuur
bank1-17-99	Het is belangrijk dat een gemeente haar eigen _____ stijl kent.	kenmerkende
bank1-18-100	Om het lichaam van Christus met succes op te bouwen, moet de gemeente _____ zijn.	gericht op noden, met omschreven taken; en kenmerkend van stijl
bank1-19-101	Gemeenten moeten zich bewust zijn van de _____ van de mensen die in hun omgeving wonen.	noden
bank1-20-102	_____ is een geestelijke discipline.	Geven
bank1-21-103	Het grondonderwijs over tienden en offergaven is te vinden in _____.	Maleachi 3:7-10
bank1-22-104	Mensen helpen _____ van het Koninkrijk te zien zijn sleutelfactoren om hen te motiveren zich in te zetten in de bediening.	het doel en de voordelen
bank1-23-105	Vier kernposities in de bediening van een gemeente zijn _____.	oudstenraad; leraars; musici; en hulpdienaren
bank1-24-106	De _____ behoort te bestaan uit mensen die begaafd zijn in bestuur en in verschillende vormen van bediening.	oudstenraad
bank1-25-107	Christus’ onderwijs en handelen laten zien hoe een dienaar een _____ kan zijn.	mensenmens
bank1-26-108	Christus erkende mensen op het punt van hun _____.	nood
bank1-27-109	Christus ging met mensen om ondanks _____.	traditie
bank1-28-110	Zorgzaamheid geeft mensen het gevoel te behoren tot iets _____.	betekenisvols en doelgerichts
bank1-29-111	Zorgzaamheid houdt mensen de _____ van de bediening.	prioriteit
bank1-30-112	Zorgzame gemeenten staan _____ voor alle mensen.	open
bank1-31-113	_____ moet de kern van het werk van de plaatselijke gemeente zijn.	Evangelisatie
bank1-32-114	De zendende gemeente is _____.	toegerust met leken
bank1-33-115	Een _____ gemeente wordt geen _____ gemeente.	zendende; zelfvoldane
bank1-34-116	Bijzondere diensten, zoals _____, behoren evangelisatiediensten te zijn.	Pasen en Kerst
bank1-35-117	_____ om hun geloof te delen legt nadruk op evangelisatie.	Mensen toerusten
bank1-36-118	Een van de meest doeltreffende middelen tot evangelisatie is _____.	relationeel
bank1-37-119	_____ wordt van een evangelist verwacht.	Het Woord prediken
bank1-38-120	Een evangelist moet zich _____ op wat God doet in de plaatselijke gemeente.	richten
bank1-39-121	Een evangelist moet de gemeente helpen _____.	vooruit te gaan
bank1-40-122	Het karakter van een gemeente komt voort uit haar _____ _____.	evangelistische boodschap
bank2-1-123	De Church of God is ontstaan in de _____ van Tennessee, North Carolina en Georgia.	Appalachen
bank2-2-124	De grondleggers van de Church of God predikten een gedegen _____ boodschap.	heiligings-
bank2-3-125	_____ was de term die in de begintijd het vaakst werd gebruikt om de Church of God te beschrijven.	Beweging
bank2-4-126	Het bestaan van valse leringen in de begintijd van het pinksterchristendom deed de leiders van de kerk de noodzaak inzien van de ontwikkeling van _____.	onderwijsinstellingen
bank2-5-127	De kerk is zowel een _____ als een _____.	menselijke organisatie; goddelijk organisme
bank2-6-128	De grondreden voor kerkorde en voor het volgen van vergaderorde is te bereiken _____ en wat de kerk niet behoort te doen.	wat de kerk behoort te doen
bank2-7-129	Elk lid van de Church of God van _____ jaar en ouder dat aanwezig is bij de Generale Assemblee mag daar het woord voeren.	16
bank2-8-130	Omdat de Church of God een _____ bestuursvorm heeft, vertegenwoordigen leden niet hun plaatselijke gemeente maar zichzelf.	gecentraliseerde
bank2-9-131	_____ is de officiële geschiedenis van de Church of God.	Like a Mighty Army
bank2-10-132	De Church of God vond haar begin in _____.	1886
bank2-11-133	Op 19 augustus 1886 sloten zeven mensen een verbond met _____ en zijn zoon _____ om het geestelijk leven te vinden dat in hun kerken ontbrak.	Richard Spurling; R.G. Spurling Jr.
bank2-12-134	De Church of God heette aanvankelijk de _____.	Christian Union
bank2-13-135	In 1896 vond bij _____ nabij Camp Creek in Cherokee County, North Carolina, een opwekking plaats waarin heiliging centraal stond.	Shearer Schoolhouse
bank2-14-136	_____ was een belangrijke leek in de begintijd van de Church of God.	W.F. Bryant
bank2-15-137	De eerste Generale Assemblee werd gehouden op 26 en 27 januari _____ ten huize van J.C. Murphy in _____.	1906; North Carolina
bank2-16-138	De naam “Church of God” werd aangenomen tijdens de _____ Generale Assemblee.	tweede
bank2-17-139	Tijdens de tweede Generale Assemblee stelde de Assemblee een nieuwe orde van bediening in: _____.	“evangelist”
bank2-18-140	De eerste algemeen opziener van de Church of God was _____.	A.J. Tomlinson
bank2-19-141	De Church of God Evangel verscheen voor het eerst als de Evening Light and Church of God Evangel in _____.	1910
bank2-20-142	Omdat onderwijs werd erkend als een belangrijk middel om de Grote Opdracht te vervullen, werd op 1 januari 1918 de _____ geopend.	Bible Training School
bank2-21-143	_____ en _____ Barr keerden in 1909 terug naar hun geboorteland de Bahama’s, als de eerste zendelingen van de Church of God.	Edmund; Rebecca
bank2-22-144	_____ werd in 1923 gekozen als de tweede algemeen opziener van de Church of God.	F.J. Lee
bank2-23-145	In 1924 stelde de Assemblee het ambt van _____ in, met als taak te dienen als scriba van de Assemblees.	algemeen secretaris
bank2-24-146	Tijdens de Generale Assemblee van 1926 werden drie vaste commissies ingesteld: _____.	de Zendingscommissie; de Onderwijscommissie; en de Uitgeverijcommissie
bank2-25-147	In 1929 werd de _____, bestaande uit alle geordineerde dienaren, ingesteld om vóór de Assemblee bijeen te komen.	Bisschoppenraad
bank2-26-148	De Bible Training School werd in 1947 hernoemd tot _____ ter ere van F.J. Lee.	Lee College
bank2-27-149	In 1948 werd _____ aangenomen.	de Geloofsverklaring
bank2-28-150	De Assemblee keurde in 1909 goed dat _____ een preeklicentie konden krijgen.	vrouwen
bank2-1-151	De Church of God staat voor _____, recht gesneden.	de hele Bijbel
bank2-2-152	Het _____ is de enige regel voor bestuur en tucht in de Church of God.	Nieuwe Testament
bank2-3-153	_____ blijft het mandaat van de Church of God vanuit Christus.	De Grote Opdracht
bank2-4-154	De missie van de Church of God is de kracht van Jezus Christus te verkondigen in de _____ van Pinksteren.	Geest en kracht
bank2-5-155	De kernwaarde _____ van de Church of God is het proces van informatie uitwisselen, ideeën overdragen en de boodschap zo delen dat anderen haar begrijpen.	communicatie
bank2-6-156	De kernwaarde discipelschap van de Church of God stelt dat het maken van discipelen _____ moet zijn voor alle gelovigen zodra zij Jezus Christus als hun persoonlijke Verlosser aannemen.	doelbewust
bank2-7-157	De kernwaarde _____ van de kerk zet zich in voor lesmateriaal dat de praktijken, missie, visie en verbintenissen van de Church of God bevestigt.	onderwijs
bank2-8-158	De Church of God is een _____ lichaam.	rechtsprekend
bank2-9-159	Een plaatselijke gemeente _____ zich terugtrekken uit de Internationale Generale Assemblee.	kan zich niet
bank2-10-160	De officiële naam van de kerk is _____.	Church of God
bank2-11-161	Het ledenbestand van de Church of God bestaat uit christenen die _____ van de Church of God hebben aanvaard.	de leringen, de leer en het bestuur
bank2-12-162	De Internationale _____ bestaat uit alle leden en dienaren van de Church of God van 16 jaar en ouder.	Generale Assemblee
bank2-13-163	Het doel van de Internationale Generale Assemblee is _____ van de Church of God te bevorderen.	de missie, visie en verbintenissen
bank2-14-164	De Internationale Generale Assemblee komt _____ bijeen.	tweejaarlijks
bank2-15-165	_____ dient als officiële leidraad voor de werkzaamheden van de Internationale Generale Assemblee.	Robert’s Rules of Order Newly Revised
bank2-16-166	De Internationale Generale Assemblee kiest de algemeen opziener, de assistent-algemeen opzieners, de secretaris-generaal en de directeuren en assistent-directeuren van _____.	Jeugd en Discipelschap, Evangelisatie en Wereldzending
bank2-17-167	De ambtsdragers van de Internationale Generale Assemblee bestaan uit de _____ en een secretaris.	moderator
bank2-18-168	De _____ dient de Internationale Generale Assemblee als secretaris.	secretaris-generaal
bank2-20-170	De Internationale _____ kiest de Raad van Achttien.	Generale Raad
bank2-21-171	De algemeen opziener, zijn assistenten, de secretaris-generaal en _____ vormen samen de Internationale Uitvoerende Raad.	de Raad van Achttien
bank2-22-172	Vaste commissies worden benoemd door _____.	het Internationaal Uitvoerend Comité
bank2-23-173	De Internationale Generale Assemblee verleent haar _____ dezelfde stem als zij alle dienaren met een licentie in de Internationale Generale Assemblee geeft.	leken
bank2-24-174	_____ zijn toegelaten tot de Internationale Generale Raad.	geordineerde dienaren, exhorters en leken
bank2-25-175	De Internationale Generale Raad komt _____ bijeen om aanbevelingen te bespreken die aan de Internationale Generale Assemblee worden voorgelegd.	tweejaarlijks
bank2-26-176	Wie beslist over het verplaatsen of uitstellen van een regulier geplande Generale Assemblee naar een geschikt tijdstip en plaats?	de Internationale Uitvoerende Raad
bank2-27-177	Een lid van de Raad van Achttien mag zichzelf voor _____ termijn(en) opvolgen.	één
bank2-28-178	De verdeling van de tienden die naar de Internationale Kantoren worden gestuurd, is de verantwoordelijkheid van _____.	de algemeen opziener en de Internationale Uitvoerende Raad
bank2-29-179	Staats- en provinciale opzieners worden benoemd door _____.	het Internationaal Uitvoerend Comité
bank2-30-180	Nadat een lid van het Internationaal Uitvoerend Comité acht jaar heeft gediend, is hij gedurende _____ jaar niet verkiesbaar voor die rol.	twee
bank2-32-182	De assistent-algemeen opzieners worden gekozen voor een termijn van _____ jaar.	vier
bank2-34-184	De directeur Jeugd en Discipelschap kan zichzelf niet opvolgen na _____.	één termijn van vier jaar
bank2-35-185	De _____ ontwikkelt en stelt het beleid van de bediening Wereldzending en haar uitvoering vast.	Commissie Wereldzending
bank2-36-186	De _____ bepaalt de geschiktheid van aankomende zendelingen.	Commissie Wereldzending
bank2-37-187	De _____ zorgt voor brede betrokkenheid om een internationaal perspectief te ondersteunen bij het vervullen van de missie van de Church of God.	Internationale Raad
bank2-38-188	De _____ adviseert de Internationale Uitvoerende Raad over zaken van internationaal belang.	Internationale Raad
bank2-39-189	De _____ draagt aankomende zendelingen voor aan de directeur Wereldzending.	assistent-directeur Wereldzending
bank2-40-190	Alle kandidaten voor de bediening moeten _____ hebben.	de doop met de Heilige Geest
bank2-41-191	De kandidaat voor ordinatie tot bisschop moet voldoen aan de Bijbelse vereisten in _____.	1 Timotheüs 3:1-7
bank2-42-192	Een kandidaat voor ordinatie tot bisschop kan worden geordineerd wanneer hij vijfentwintig jaar oud is, mits hij ten minste _____ jaar actief in de bediening is geweest, of drie jaar actieve bediening met een aan de bediening verwante graad van een erkende instelling.	acht
bank2-43-193	Wanneer een exhorter als voorganger dient en aan de eisen van de burgerlijke wet voldoet, mag hij of zij _____ voltrekken.	huwelijken
bank2-44-194	Dienaren van de Church of God bewaren een _____ houding van liefde, barmhartigheid en genade bij het pastoraat aan of de omgang met mensen in relaties met iemand van hetzelfde geslacht.	Christusgelijkvormige
bank2-45-195	Dienaren van de Church of God (geordineerde dienaren of geordineerde bisschoppen) voltrekken uitsluitend huwelijken tussen _____, zoals het huwelijk in de Bijbel is omschreven.	één man en één vrouw
bank2-46-196	Om de leerstellige integriteit van de Church of God als deel van het lichaam van Christus te bewaren en om een Bijbels rolmodel te bieden aan onze beweging, is het noodzakelijk dat allen die in welke hoedanigheid dan ook door de kerk worden aangesteld, of die als vrijwilliger in de bediening dienen, instemmen met en zich houden aan _____.	de Geloofsverklaring
bank2-47-197	Als deel van zijn verantwoording moet een _____ een voorbeeld zijn door aantoonbaar Christusgelijkvormige eigenschappen in zijn levenswandel en bestuur.	staatsopziener
bank2-48-198	De ambtstermijn van de staatsopziener bedraagt _____ jaar.	vier
bank2-49-199	De ambtstermijn van de staatsopziener bedraagt in niet-zendingsstaten maximaal _____ jaar.	twaalf
bank2-50-200	De staatsopziener benoemt zo nodig _____.	districtsopzieners, voorgangers en ambtsdragers van de plaatselijke gemeente
bank2-51-201	De staatsopziener keurt de keuze, aankoop en bouw van alle kerk-, pastorie- of zondagsschoolpanden goed, samen met de betreffende _____.	districtsopziener
bank2-52-202	Voordat hij grote financiële projecten start, moet de staatsopziener de goedkeuring hebben van _____.	het Internationaal Uitvoerend Comité
bank2-54-204	Behalve in nationale, territoriale, provinciale of zendingsstaten moeten alle leden van de Staatsraad _____ zijn.	geordineerde bisschoppen
bank2-55-205	Samen met de staatsopziener houdt de _____ toezicht op de staatszendingsgelden, de overtollige tienden, de staatspastorie, het kampterrein en alle andere gelden die door de staatskas worden ontvangen en uitgegeven.	Staatsraad
bank2-56-206	Elke staat heeft een _____.	Staatscommissie voor Ministeriële Ontwikkeling, Staatscommissie Jeugd en Discipelschap, Evangelisatiecommissie, Staatscommissie voor Wereldzending en Staatscommissie voor Muziek
bank2-57-207	De _____ worden tweejaarlijks benoemd door de staatsopziener.	Staatscommissie voor Ministeriële Ontwikkeling, Staatscommissie voor Wereldzending en Staatscommissie voor Muziek
bank2-58-208	De Staatscommissie voor Ministeriële Ontwikkeling wordt benoemd door de staatsopziener en goedgekeurd door de _____.	Staatsraad
bank2-59-209	De _____ helpt programma’s voor permanente vorming op alle niveaus te stimuleren en te voeden.	Staatscommissie voor Ministeriële Ontwikkeling
bank2-60-210	De _____ wordt gekozen door de dienaren van de staat.	Staatscommissie Jeugd en Discipelschap
bank2-61-211	De staatsdirecteur Jeugd en Discipelschap wordt voorgedragen door de _____.	staatsopziener
bank2-62-212	De staatsdirecteur Jeugd en Discipelschap wordt gekozen door de _____.	Staatsraad
bank2-64-214	De ambtstermijn van de staatsdirecteur Evangelisatie en Zending bedraagt twee jaar, met een maximum van _____ opeenvolgende jaren in een niet-zendingsstaat.	acht
bank2-65-215	Evangelisatieverenigingen of andere organisaties van dit type kunnen binnen de Church of God niet worden opgericht zonder de uitdrukkelijke goedkeuring van _____.	de Internationale Uitvoerende Raad
bank2-66-216	De commissie en de voorzitter van de Staatscommissie voor Wereldzending worden _____ benoemd door de staatsopziener.	tweejaarlijks
bank2-67-217	Elk district staat onder de zorg en het toezicht van een _____, die wordt benoemd door de staatsopziener.	districtsopziener
bank2-68-218	De districtsopziener ziet erop toe dat er in de loop van het jaar een _____ in zijn district plaatsvindt.	evangelisatie-inspanning
bank2-69-219	De _____ kan samen met de districtsopziener een assistent benoemen als directeur Jeugd en Discipelschap voor het district.	staatsdirecteur Jeugd en Discipelschap
bank2-70-220	De _____ dient als presidente van de Vrouwendiscipelschap van de Church of God in de staat.	echtgenote van de staatsopziener
bank2-71-221	De Church of God heeft een _____ bestuursvorm.	gecentraliseerde
bank2-72-222	De _____, het hoogste gezag van de Church of God, bepaalt het eigendom van alle kerkelijke eigendommen.	Internationale Generale Assemblee
bank2-73-223	De Internationale Generale Assemblee bestuurt het functioneren van de Church of God op _____ niveau.	internationaal, nationaal, staats-/territoriaal, districts- en plaatselijk
bank2-74-224	Een _____ houdt de eigendomstitel, beheert en bestuurt, in opdracht van de plaatselijke gemeente, alle onroerende goederen van die gemeente.	plaatselijk College van Beheerders
bank2-75-225	De Church of God bevestigt het schriftuurlijke patroon van _____.	oudsten en diakenen
bank2-76-226	De naam van een lid blijft op de ledenlijst staan totdat een _____ tot overschrijving is ontvangen.	officieel verzoek
bank2-77-227	Een verzoek tot overschrijving van lidmaatschap moet binnen _____ worden ingewilligd, mits er geen aanklachten in behandeling zijn.	twee weken
bank2-79-229	Een _____ is een zakelijke vergadering met het doel alle zaken af te handelen die nodig zijn voor het functioneren van de gemeente.	gemeentevergadering
bank2-80-230	Geen enkele _____ heeft het recht een vergadering te houden zonder toestemming van de districtsopziener.	voorganger
bank2-81-231	In een district wordt geen vergadering gehouden dan onder leiding van de _____.	districtsopziener
bank2-82-232	De staats- en districtsopzieners moeten erop toezien dat er ten minste _____ vergadering(en) in elke plaatselijke gemeente wordt gehouden.	één
bank2-83-233	De gewone vergadering bestaat uit _____.	de leden
bank2-84-234	Het doel van een gemeentevergadering is de gemeente te informeren over haar _____.	financiële status
bank2-85-235	Een gewone vergadering moet ten minste _____ dagen van tevoren worden aangekondigd.	tien
bank2-86-236	Een _____ handelt zaken af die tussen de gewone vergaderingen ontstaan.	bijeengeroepen vergadering
bank2-87-237	De gebruikelijke orde van zaken in een vergadering omvat _____.	financiële verslagen van de verschillende afdelingen van de gemeente; overige verslagen van commissies; overschrijving van lidmaatschap, indien van toepassing; onafgehandelde zaken; en nieuwe zaken
bank2-88-238	Het gezag om voorgangers te benoemen ligt bij de _____.	staatsopziener
bank2-89-239	Wanneer een voorganger een pastorale wisseling wenst, dient hij of zij een schriftelijk verzoek in bij de _____.	staatsopziener
bank2-90-240	Leken mogen over zaken van de plaatselijke gemeente contact opnemen met de _____ nadat zij met hun voorganger hebben gesproken.	districtsopziener
bank2-92-242	Een plaatselijke gemeente kan bepalen of het praktisch is een _____ te hebben.	Gemeente- en Voorgangersraad
bank2-93-243	De Gemeente- en Voorgangersraad wordt _____ bij stemming gekozen.	tweejaarlijks
bank2-94-244	De _____ treedt op als voorzitter van de Gemeente- en Voorgangersraad.	voorganger
bank2-95-245	Een vergadering van de Gemeente- en Voorgangersraad kan alleen worden bijeengeroepen met toestemming van de _____.	voorganger, districtsopziener of staatsopziener
bank2-96-246	De Gemeente- en Voorgangersraad staat de voorganger bij op _____ terrein(en) van de gemeente.	geestelijk, financieel en materieel
bank2-97-247	Alle grote uitgaven van de plaatselijke gemeente moeten door de gemeente in _____ worden goedgekeurd.	vergadering
bank2-98-248	Een penningmeester van de gemeente wordt benoemd door de _____ en bevestigd door de raad en/of de vergadering.	voorganger
bank2-99-249	Elke plaatselijke gemeente moet de penningmeester een exemplaar geven van de _____ van de Internationale Generale Assemblee.	Notulen
bank2-100-250	De financiële commissie bestaat uit de penningmeester en _____ andere leden.	twee
bank2-101-251	Een plaatselijke gemeente die eigendom bezit, benoemt een _____.	plaatselijk College van Beheerders
bank2-102-252	Voordat een bouwproject wordt goedgekeurd, bepaalt een _____ of zijn gemachtigde of het ontwerp en de financiële plannen door de juiste instanties zijn goedgekeurd.	staatsopziener
bank2-103-253	Geen enkele gemeente zal een _____ starten zonder toestemming van de staatsopziener.	christelijke dagschool
bank2-104-254	De Vrouwendiscipelschapscommissie van de plaatselijke gemeente bestaat uit _____.	presidente, vicepresidente en secretaris-penningmeester
bank2-105-255	De voorzitter van de plaatselijke Vrouwendiscipelschap is de _____.	voorganger
bank3-1-256	Het woord “inspiratie” betekent _____.	door God geademd
bank3-2-257	De leer van de “_____” wordt in het bijzonder verwoord in 2 Timotheüs 3:16.	inspiratie
bank3-3-258	De _____ is het werktuig van de inspiratie.	Heilige Geest
bank3-4-259	Hoewel mensen de menselijke schrijvers van het Woord zijn, gaf God hun _____.	onfeilbaarheid
bank3-5-260	_____ en de _____ in het Nieuwe Testament erkenden het Oude Testament als volledig geïnspireerd.	Jezus; apostelen
bank3-6-261	De apostelen beriepen zich op het Oude Testament in de verhalen van de _____ en _____ en in het onderwijs van de brieven.	Evangeliën; Handelingen
bank3-7-262	Petrus erkende de geschriften van _____ als gelijkwaardig aan het Oude Testament.	Paulus
bank3-8-263	Het voornaamste kenmerk van deze 66 boeken is hun _____.	eenheid
