church,city,tradition,website,public_contact,source,notes
Kerk van de Nazarener Amersfoort,Amersfoort,Church of the Nazarene,kvdnamersfoort.nl,see site contact page,RvK-Amersfoort aangesloten kerken list,
Kruispunt Vathorst (PKN/CGK/NGK samenwerkingsgemeente),Amersfoort (Vathorst),Ecumenical (PKN/CGK/NGK),kruispuntvathorst.nl,see site contact page,RvK-Amersfoort aangesloten kerken list,
Korps Leger des Heils Eemland,Amersfoort,Salvation Army,legerdesheils.nl,see site contact page,RvK-Amersfoort aangesloten kerken list,"national site - find local Eemland corps page for local contact"
Nieuw-Apostolische Kerk Amersfoort,Amersfoort,New Apostolic Church,nak-nl.org,see site contact page,RvK-Amersfoort aangesloten kerken list,"national site - find local Amersfoort gemeente page"
Orthodoxe Parochie Amersfoort,Amersfoort,Orthodox,orthodox-amersfoort.nl,see site contact page,RvK-Amersfoort aangesloten kerken list,
Oud-Katholieke Parochie St. Joris op 't Zand (H. Georgius),Amersfoort,Old Catholic,amersfoort.oudkatholiek.nl,see site contact page,RvK-Amersfoort / amersfoort.oudkatholiek.nl,
Ruimteviering Amersfoort,Amersfoort,Ecumenical / progressive,ruimteviering.nl,see site contact page,RvK-Amersfoort aangesloten kerken list,
International Christian Fellowship / Grace Church Amersfoort,Amersfoort,International / Evangelical (SKIN member),gracechurch.nl,see site contact page,SKIN-NL lijst deelnemende kerken,"also runs De Oase; international/expat congregation"
Eglise Basilea d'Amersfoort,Amersfoort,International / Francophone (SKIN member),not verified - locate via skinkerken.nl,not verified,SKIN-NL lijst deelnemende kerken,"website/contact not confirmed in this pass - pull from skinkerken.nl directory"
Ethiopisch-Orthodoxe Tewahedo Kerk (Amersfoort),Amersfoort,Ethiopian Orthodox (SKIN member),not verified - locate via skinkerken.nl,not verified,SKIN-NL lijst deelnemende kerken,"website/contact not confirmed in this pass - pull from skinkerken.nl directory"
Protestantse Gemeente Utrecht (central),Utrecht,PKN Protestant,pgu.nu,info@protestantsekerk.nl / 030-8801880,pgu.nu / protestantsekerk.nl,"phone/email is PKN national service line, not PGU-specific - verify a PGU-specific contact before send"
Domkerk,Utrecht,PKN Protestant,domkerk.nl,secretariaat@domkerk.nl / 030-2310403,domkerk.nl contact page,"Achter de Dom 1, 3512 JN Utrecht"
Jacobikerk,Utrecht,PKN Protestant,jacobikerk.nl,030-2317862,jacobikerk.nl contact page,"St. Jacobsstraat 171, 3511 BP Utrecht"
Nicolaïkerk,Utrecht,PKN Protestant,nicolaikerk.nl,see site contact page,nicolaikerk.nl,"Nicolaaskerkhof 9, 3512 XC Utrecht"
Eglise Internationale d'Utrecht / M.I.R.S.,Utrecht,International (SKIN member),not verified - locate via skinkerken.nl,not verified,SKIN-NL lijst deelnemende kerken,"website/contact not confirmed in this pass"
Oromo Christelijke Kerk,Utrecht,International / Oromo (SKIN member),not verified - locate via skinkerken.nl,not verified,SKIN-NL lijst deelnemende kerken,"website/contact not confirmed in this pass"
Protestantse Gemeente Zeist (central),Zeist,PKN Protestant,pgzeist.nl,kb@pgzeist.nl / 030-6920300,pgzeist.nl contact page,"Kerkelijk Centrum Zeist-West, De Clomp 33-02, 3704 KB Zeist; umbrella of 7 wijkgemeenten"
Pniël Zeist,Zeist,PKN Protestant (Reformed),pnielzeist.nl,see site contact page,pnielzeist.nl/contactgegevens,"holds services in de Oude Kerk"
NoorderLichtgemeente,Zeist,PKN Protestant,noorderlichtgemeente.nl,see site contact page,noorderlichtgemeente.nl,
Evangelische Broedergemeente Zeist,Zeist,Moravian / Evangelical Brethren,ebgzeist.nl,see site contact page,ebgzeist.nl,"Hernhutter tradition, near Slot Zeist"
Bethel Zeist,Zeist,PKN Protestant,bethelzeist.nl,see site contact page,bethelzeist.nl,
Hervormde Gemeente Veenendaal,Veenendaal,PKN (Hervormd),herveen.nl,see site contact page,herveen.nl,"umbrella of several wijkgemeenten incl. Julianakerk"
Julianakerk Veenendaal,Veenendaal,PKN (Hervormd),julianakerkveenendaal.nl,see site contact page,julianakerkveenendaal.nl,
Vredeskerk Veenendaal,Veenendaal,PKN Protestant,vredeskerkveenendaal.nl,see site contact page,vredeskerkveenendaal.nl,
Evangeliegemeente De Deur Veenendaal,Veenendaal,Evangelical / Pentecostal,kerkinveenendaal.nl,see site contact page,kerkinveenendaal.nl,
Christengemeente Alpha & Omega,Rotterdam,International / Evangelical (SKIN member),alphaomega-rotterdam.nl,see site contact page,SKIN-NL lijst deelnemende kerken,"major-city tier (per geography refinement: local-first, cities second)"
Scots International Church,Rotterdam,International / Church of Scotland (SKIN member),scotsintchurch.com,see site contact page,SKIN-NL lijst deelnemende kerken,"major-city tier"
Deutsche Evangelische Gemeinde Den Haag,Den Haag,International / German Evangelical (SKIN member),evangelischekirche-denhaag.nl,see site contact page,SKIN-NL lijst deelnemende kerken,"major-city tier"
